matchid,matchname,teamhome,teamaway,scorehome,awayhome,result
11786,Pool 4 - Preliminary Round - Men,USA,FRA,1,3,"['23', '-', '25', '25', '-', '22', '29', '-', '31', '22', '-', '25']"
11787,Pool 4 - Preliminary Round - Men,IRI,BRA,1,3,"['19', '-', '25', '25', '-', '23', '19', '-', '25', '21', '-', '25']"
11788,Pool 4 - Preliminary Round - Men,ARG,SRB,3,0,"['27', '-', '25', '25', '-', '20', '26', '-', '24']"
11789,Pool 4 - Preliminary Round - Men,BUL,RUS,0,3,"['17', '-', '25', '22', '-', '25', '17', '-', '25']"
11790,Pool 4 - Preliminary Round - Men,JPN,CAN,0,3,"['22', '-', '25', '23', '-', '25', '18', '-', '25']"
11791,Pool 4 - Preliminary Round - Men,AUS,BRA,0,3,"['17', '-', '25', '22', '-', '25', '12', '-', '25']"
11792,Pool 4 - Preliminary Round - Men,IRI,SLO,1,3,"['25', '-', '14', '20', '-', '25', '19', '-', '25', '30', '-', '32']"
11793,Pool 4 - Preliminary Round - Men,NED,USA,2,3,"['25', '-', '21', '17', '-', '25', '25', '-', '23', '15', '-', '25', '13', '-', '15']"
11794,Pool 4 - Preliminary Round - Men,FRA,ITA,2,3,"['19', '-', '25', '25', '-', '22', '20', '-', '25', '25', '-', '21', '12', '-', '15']"
11795,Pool 4 - Preliminary Round - Men,GER,POL,0,3,"['22', '-', '25', '19', '-', '25', '20', '-', '25']"
11926,Pool 5 - Preliminary Round - Women,GER,SRB,3,0,"['25', '-', '23', '25', '-', '16', '25', '-', '21']"
11927,Pool 5 - Preliminary Round - Women,JPN,DOM,3,2,"['18', '-', '25', '24', '-', '26', '25', '-', '22', '25', '-', '15', '15', '-', '11']"
11928,Pool 5 - Preliminary Round - Women,THA,BEL,1,3,"['23', '-', '25', '24', '-', '26', '25', '-', '23', '15', '-', '25']"
11929,Pool 5 - Preliminary Round - Women,KOR,BRA,0,3,"['18', '-', '25', '23', '-', '25', '18', '-', '25']"
11930,Pool 5 - Preliminary Round - Women,CHN,RUS,3,0,"['25', '-', '18', '25', '-', '23', '25', '-', '16']"
11931,Pool 5 - Preliminary Round - Women,POL,USA,0,3,"['27', '-', '29', '27', '-', '29', '14', '-', '25']"
11932,Pool 5 - Preliminary Round - Women,CAN,ITA,0,3,"['18', '-', '25', '20', '-', '25', '20', '-', '25']"
11933,Pool 5 - Preliminary Round - Women,TUR,NED,3,0,"['27', '-', '25', '25', '-', '20', '25', '-', '20']"
